"system","code","display","count"
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","G47.31",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.20",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.16",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.19",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.36",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.50",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.11",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.96",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.26",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.31",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.53",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.52",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.08",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.94",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.47",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.83",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.17",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.30",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.46",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.41",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.25",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.06",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.97",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.98",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.37",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.80",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.22",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.50",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.29",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.98",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.32",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.42",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.21",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.13",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M81.92",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","M80.38",,103
